Pocket,Chance
AA,85.9
KK,82.8
QQ,79.2
JJ,75.8
TT,75.7
99,74.0
88,69.8
AJs,67.9
AQs,67.3
AKo,66.7
AKs,66.6
AQo,65.5
77,65.5
A7s,64.8
ATs,64.4
A6s,64.3
KQs,64.3
QJs,64.3
AJo,64.1
66,64.0
A8s,63.8
K9s,63.7
QTs,63.5
A9o,63.4
55,62.9
KQo,62.8
ATo,62.7
A3s,62.7
KTs,62.6
KJs,62.4
KJo,61.9
A9s,61.7
A5o,60.8
A4s,60.5
QJo,60.5
A8o,59.9
KTo,59.2
K4s,59.2
A6o,58.9
K9o,58.9
K6s,58.8
A3o,58.7
A7o,58.5
JTo,58.5
J9s,58.5
A5s,58.4
A2s,58.2
QTo,58.1
K7s,58.0
A4o,57.9
K5s,57.8
JTs,57.8
Q7s,57.5
Q9s,56.9
J8s,56.9
K5o,56.8
K8o,56.6
T9o,56.6
44,56.4
K8s,56.3
Q8o,56.1
Q8s,55.9
J7s,55.9
T9s,55.8
T8s,55.7
K7o,55.5
Q9o,55.5
A2o,55.1
T7s,55.1
33,55.1
K2s,54.9
Q3s,54.9
K3o,54.8
K6o,54.5
Q5s,54.5
K4o,53.8
Q6s,53.7
J8o,53.7
98s,53.5
22,53.2
Q7o,53.0
J4s,53.0
98o,52.9
K2o,52.8
J9o,52.5
J7o,52.4
J5s,52.4
Q4o,51.8
76s,51.8
J2s,51.6
Q5o,51.4
K3s,51.3
T2s,51.3
T6s,51.1
Q2s,50.8
Q2o,50.8
Q4s,50.4
J6o,50.3
T7o,50.2
Q6o,49.8
J6s,49.7
T5s,49.7
T6o,49.4
J5o,49.2
86s,48.7
T8o,48.6
96s,48.6
87o,48.5
J4o,48.4
J3s,48.4
97o,48.4
82s,48.3
75s,48.3
Q3o,48.2
97s,48.0
87s,48.0
J3o,47.8
92s,47.5
94s,47.2
74s,47.0
93s,46.7
T3s,46.5
96o,46.3
T4s,46.2
95o,46.2
85s,46.2
T4o,46.1
95s,46.1
T5o,45.9
54s,45.8
53s,45.8
76o,45.7
85o,45.6
75o,45.3
T3o,45.0
84s,44.6
T2o,44.4
J2o,44.3
64s,44.2
65s,44.0
86o,43.9
72s,43.6
93o,43.5
63s,43.3
83s,43.0
94o,42.3
84o,42.1
92o,42.0
65o,42.0
74o,41.9
64o,41.3
43s,40.4
62s,40.3
63o,40.1
73o,40.0
73s,39.3
43o,39.3
54o,39.2
83o,38.9
32s,38.8
72o,38.6
82o,38.4
52o,38.4
52s,37.8
62o,37.7
53o,36.9
32o,36.9
42s,36.6
42o,36.5
